nodes,lat,lon
1001,32.532237,-86.64644
1003,30.659218,-87.746067
1005,31.870253,-85.405104
1007,33.015893,-87.127148
1009,33.977358,-86.56644
1011,32.101759,-85.717261
1013,31.751667,-86.681969
1015,33.770516,-85.827909
1017,32.915504,-85.394032
1019,34.069515,-85.654242
1021,32.854051,-86.726607
1023,31.990954,-88.248889
1025,31.685521,-87.818624
1027,33.2704,-85.863525
1029,33.671964,-85.516126
1031,31.402258,-85.989602
1033,34.703112,-87.801457
1035,31.430926,-86.988722
1037,32.931445,-86.243482
1039,31.243987,-86.448721
1041,31.732826,-86.319222
1043,34.131923,-86.869267
1045,31.430654,-85.609476
1047,32.33354,-87.114356
1049,34.460929,-85.803992
1051,32.597229,-86.142735
1053,31.122287,-87.16841
1055,34.047641,-86.034263
1057,33.716157,-87.764292
1059,34.441989,-87.842814
1061,31.092382,-85.821022
1063,32.844497,-87.9642
1065,32.752796,-87.623061
1067,31.516978,-85.239971
1069,31.158183,-85.296411
1071,34.764114,-85.980056
1073,33.553444,-86.896536
1075,33.787085,-88.087431
1077,34.904122,-87.650997
1079,34.529776,-87.321865
1081,32.604064,-85.353048
1083,34.810239,-86.981399
1085,32.147888,-86.650586
1087,32.387027,-85.692887
1089,34.764238,-86.55108
1091,32.247591,-87.791091
1093,34.138219,-87.881551
1095,34.309564,-86.321668
1097,30.684572,-88.196568
1099,31.580332,-87.383266
1101,32.202881,-86.204461
1103,34.454484,-86.846402
1105,32.639005,-87.293827
1107,33.296793,-88.096863
1109,31.798651,-85.941604
1111,33.296475,-85.464068
1113,32.289811,-85.18698
1115,33.712963,-86.315663
1117,33.263043,-86.678089
1119,32.597481,-88.200057
1121,33.369314,-86.17593
1123,32.863308,-85.799618
1125,33.29022,-87.522783
1127,33.791558,-87.301094
1129,31.405217,-88.197564
1131,31.990082,-87.304935
1133,34.154566,-87.365346
2016,51.948964,179.621188
2020,61.17425,-149.284329
2060,58.741647,-156.966909
2068,63.682039,-150.027016
2090,64.676044,-146.548159
2100,59.098404,-135.575791
2110,58.37291,-134.178445
2122,60.360766,-152.05264
2130,55.449938,-131.106685
2185,69.449343,-153.47283
2282,60.017453,-140.416942
4001,35.385084,-109.490172
4003,31.840129,-109.775163
4005,35.829692,-111.773728
4007,33.789618,-110.81187
4009,32.931828,-109.87831
4011,33.238872,-109.242323
4012,33.72761,-114.038806
4013,33.345176,-112.49893
4015,35.717705,-113.749689
4017,35.390785,-110.321025
4019,32.128043,-111.783657
4021,32.918521,-111.36634
4023,31.525733,-110.845228
4025,34.631071,-112.577225
4027,32.773942,-113.910905
5001,34.28957,-91.376547
